from,to,flag
6389,3728,1
6389,4144,1
6389,5705,1
6389,26135,1
6389,5700,1
6389,7385,1
6389,5630,1
6389,10135,1
6389,1615,1
6389,2193,1
6389,440,1
6389,4001,1
6389,6184,1
6389,7086,1
6389,6749,1
6389,1832,1
6389,4174,1
6389,3295,1
6389,1653,1
6389,5122,1
6389,1374,1
6389,1608,1
6389,4175,1
6389,3308,1
6389,3837,1
6389,5708,1
6389,57505,1
6389,7175,1
6389,9126,1
6389,1314,1
6389,2194,1
6389,3069,1
6389,2058,1
6646,117159,1
6646,7295,1
6646,2319,1
6646,302,1
6646,10189,1
6646,3336,1
6646,5495,1
6646,128866,1
6646,1832,1
6646,291,1
6646,5216,1
6646,1828,1
6646,292,1
6646,7416,1
6646,7417,1
6646,375,1
6646,5478,1
6646,8815,1
6646,6155,1
6646,8971,1
6646,7167,1
6646,2010,1
6646,55681,1
6646,3608,1
6646,2670,1
6646,26135,1
6646,1347,1
6646,4191,1
6646,56993,1
6646,81532,1
6646,26097,1
6646,5250,1
6646,55210,1
6646,7534,1
6646,7419,1
6646,5162,1
6646,10935,1
6646,3728,1
6646,30968,1
6646,5494,1
6646,4513,1
6646,2091,1
6646,1984,1
6646,388697,1
6646,7168,1
6646,7531,1
6646,7529,1
6646,6182,1
6646,1327,1
6646,10131,1
6646,6158,1
6646,3945,1
6646,509,1
6646,7385,1
6646,4698,1
6646,388698,1
6646,821,1
6646,9588,1
6646,9551,1
6646,653505,1
6646,293,1
6646,3939,1
6646,682,1
6646,94081,1
6646,27288,1
6646,4722,1
6646,6418,1
6646,6472,1
6646,23396,1
6646,11160,1
6646,4830,1
6646,3376,1
6646,4705,1
6646,226,1
6646,6566,1
6646,2058,1
6646,10971,1
6646,1152,1
6646,5831,1
6646,1736,1
6646,65108,1
6646,9521,1
6646,2108,1
6646,7184,1
6646,4673,1
6646,10165,1
6646,5902,1
6646,6520,1
6646,7384,1
6646,1937,1
6646,4942,1
6646,1738,1
6646,9131,1
6646,1938,1
6646,7086,1
6646,5917,1
6646,4719,1
6646,83858,1
6646,3418,1
6646,9524,1
6646,51493,1
6646,10015,1
6646,4629,1
6646,6185,1
6646,23193,1
6646,2923,1
6646,3837,1
6646,2618,1
6647,10409,1
6647,3945,1
6647,3005,1
6647,7001,1
6647,7167,1
6647,5478,1
6647,2950,1
6647,1938,1
6647,65108,1
6647,3336,1
6647,6902,1
6647,9588,1
6647,6156,1
6647,4282,1
6647,10576,1
6647,5230,1
6647,353,1
6647,10694,1
6647,7534,1
6647,7529,1
6647,55505,1
6647,7345,1
6647,5110,1
6647,5494,1
6647,7086,1
6647,5495,1
6647,653505,1
6647,7317,1
6647,8815,1
6647,10574,1
6647,226,1
6647,197,1
6647,2739,1
6647,10856,1
6647,11315,1
6647,26517,1
6647,6613,1
6647,8407,1
6647,2923,1
6647,5763,1
6647,10213,1
6647,10155,1
6647,6282,1
6647,8971,1
6647,4666,1
6647,3939,1
6647,2664,1
6647,4191,1
6647,7415,1
6647,136319,1
6647,5694,1
6647,6119,1
6647,10971,1
6647,3094,1
6647,11332,1
6647,1152,1
6647,2109,1
6647,3608,1
6647,10927,1
6647,4144,1
6647,5216,1
6647,1936,1
6647,38,1
6647,7919,1
6647,6728,1
6647,1964,1
6647,5701,1
6647,1937,1
6647,3925,1
6647,51142,1
6647,7334,1
6647,5202,1
6647,1429,1
6647,11034,1
6647,3182,1
6647,160287,1
6647,10454,1
6647,5034,1
6647,2782,1
6647,4173,1
6647,301,1
6647,10055,1
6647,9939,1
6647,51596,1
6647,501,1
6647,3419,1
6647,9040,1
6647,10059,1
6647,5906,1
6647,3074,1
6647,4676,1
6647,998,1
6647,387,1
6647,5706,1
6647,4001,1
6647,5518,1
6647,10493,1
6647,6182,1
6647,3149,1
6647,7184,1
6647,9367,1
6647,9775,1
6647,871,1
6647,5434,1
6647,25824,1
6647,3146,1
6647,92597,1
6647,2027,1
6647,10130,1
6647,26285,1
6647,54749,1
6647,7163,1
